,Company Name,Ticker,Price Per Share,Number of Dividend Payouts,Annual Dividend Yield,Quarterly Payout,Annual Payout
0,Lockheed Martin Corporation,LMT,492.35,12.0,2.58,3.0,12.0
1,Cintas Corporation,CTAS,457.65,4.2,1.0,1.15,4.6
2,"Home Depot, Inc. (The)",HD,322.45,7.6,2.17,1.9,7.6
3,"United Parcel Service, Inc.",UPS,184.62,6.08,2.92,1.52,6.08
4,Target Corporation,TGT,158.06,4.32,2.33,1.08,4.32
5,Texas Instruments Incorporated,TXN,177.905,4.96,2.47,1.24,4.96
6,Clorox Company (The),CLX,149.425,4.72,2.57,1.18,4.72
7,International Business Machines,IBM,148.47,6.6,4.81,1.65,6.6
8,JP Morgan Chase & Co.,JPM,132.4,4.0,2.7,1.0,4.0
9,Allstate Corporation (The),ALL,128.86,3.4,2.09,0.85,3.4
10,3M Company,MMM,125.085,5.96,3.33,1.49,5.96
11,Exxon Mobil Corporation,XOM,108.68,3.64,5.37,0.91,3.64
12,Abbott Laboratories,ABT,106.315,1.88,1.53,0.47,1.88
13,Philip Morris International Inc,PM,103.8707,5.08,5.42,1.27,5.08
14,Morgan Stanley,MS,90.68,3.1,2.52,0.775,3.1
15,"General Mills, Inc.",GIS,86.07,2.16,3.56,0.54,2.16
16,"Gilead Sciences, Inc.",GILD,88.69,2.92,3.79,0.73,2.92
17,Kellogg Company,K,72.945,2.36,3.51,0.59,2.36
18,"Best Buy Co., Inc.",BBY,86.42,3.52,2.63,0.88,3.52
19,"Tyson Foods, Inc.",TSN,64.98,1.92,2.12,0.48,1.92
20,Coca-Cola Company (The),KO,63.7,1.76,3.12,0.44,1.76
21,"Pfizer, Inc.",PFE,50.59,1.6,3.59,0.4,1.6
22,Dow Inc.,DOW,51.405,2.8,,0.7,2.8
23,Unilever PLC,UL,51.07,1.8,3.39,0.421,1.684
24,"Cisco Systems, Inc.",CSCO,49.505,1.52,2.92,0.38,1.52
25,The Kraft Heinz Company,KHC,39.525,1.6,4.87,0.4,1.6
26,Verizon Communications Inc.,VZ,37.43,2.61,4.6,0.653,2.612
27,BP p.l.c.,BP,35.515,1.38,6.42,0.36,1.44
28,Intel Corporation,INTC,29.4677,1.46,2.68,0.365,1.46
29,AT&T Inc.,T,18.88,1.11,6.94,0.278,1.112
30,Ford Motor Company,F,13.6,0.6,,0.15,0.6
